from,to,relation
Matthias,SPD,1
Matthias,KK,7
Matthias,SPD,2
Ronald,KK,7
Ronald,DB,7
Ronald,CDU/CSU,3
Barbara,KK,7
Barbara,TAE,4
Stanislaw,KK,7
Stanislaw,CDU/CSU,3
Gerda,KK,6
Gerda,DRK,5
Gerda,CDU/CSU,3
Steffen,KK,6
Steffen,BDA,2
Steffen,CDU/CSU,3
Stefan,KK,6
Stefan,BDEW,2
Stefan,FDP,6
Dieter,BDI,99
Dieter,KK,6
Dieter,BDA,5
Claudia,KK,6
Claudia,TLK,7
Claudia,MCK,99
Katherina,KK,6
Katherina,VKU,2
Katherina,CDU/CSU,3
Gunda,KK,6
Gunda,SED,2
Gunda,ENBW,10
Gunda,GRÜ,8
Eric,KK,6
Eric,DIHT,5
Eric,ALBA,7
Eric,FDP,6
Antje,KK,6
Hannelore,KK,6
Hannelore,CDU/CSU,3
Hannelore,GZW,6
Christine,KK,6
Christine,ST,2
Michael,KK,6
Michael,CDU/CSU,3
Reiner,KK,6
Reiner,GRÜ,3
Reiner,LEENRW,2
MichaelV,KK,6
MichaelV,IGBCE,7
MichaelV,SPD,6
Andreas,KK,6
Andreas,VERDI,7
Andreas,SPD,6
Andreas,EON,10
StefanK,KK,6
StefanK,DGB,7
StefanK,SPD,6
Martin,KK,6
Martin,GRP,2
Martin,SPD,6
Hubert,KK,6
Hubert,BUND,7
Kai,KK,6
Kai,DNR,5
Jutta,KK,6
Jutta,WZB,5
Jutta,DGS,7
Felix,KK,6
Felix,ÖKI,6
Annekathrin,KK,6
HansJoachim,KK,6
HansJoachim,PDI,11
HansJoachim,WBGU,2
HansJoachim,IPCC,6
Ralf,KK,6
Ralf,FHI,2
AndreasLä,KK,99
AndreasLä,CDU/CSU,13
AndreasLä,PKM,14
AndreasL,KK,99
AndreasL,CDU/CSU,13
MatthiasM,SPD,3
MatthiasM,KK,99
