from,to,relation,time
Matthias,SPD,1,2013
Matthias,SPD,2,2006
Ronald,DB,7,2015
Ronald,CDU,3,2013
Barbara,TAE,4,2017
Stanislaw,CDU,3,NA
Gerda,DRK,5,2018
Gerda,CSU,3,NA
Steffen,BDA,2,NA
Steffen,CDU,3,NA
Stefan,BDEW,2,NA
Stefan,FDP,6,NA
Dieter,BDA,5,NA
Claudia,TLK,7,NA
Claudia,MCK,NA,NA
Katherina,VKU,2,NA
Katherina,CDU,3,2015
Gunda,SED,2,NA
Gunda,ENBW,10,NA
Gunda,GRÜ,8,2000
Eric,DIHT,5,NA
Eric,ALBA,7,NA
Eric,FDP,6,2012
Hannelore,CDU,3,NA
Hannelore,GZW,6,NA
Christine,ST,2,NA
Michael,CDU,3,NA
Reiner,GRÜ,3,NA
Reiner,LEENRW,2,2016
MichaelV,IGBCE,7,2009
MichaelV,SPD,6,NA
Andreas,VERDI,7,2014
Andreas,SPD,6,NA
Andreas,EON,10,2015
StefanK,DGB,7,2014
StefanK,SPD,6,NA
Martin,GRP,2,NA
Martin,SPD,6,NA
Hubert,BUND,7,2007
Kai,DNR,5,2015
Jutta,WZB,5,2007
Jutta,DGS,7,NA
Felix,ÖKI,6,NA
HansJoachim,PDI,11,1992
HansJoachim,WBGU,2,2016
HansJoachim,IPCC,6,NA
Ralf,FHI,2,2016
AndreasLä,CDU,13,NA
AndreasLä,PKM,14,2011
AndreasL,CSU,13,NA
MatthiasM,SPD,3,NA
